run_id,source_file,source_sha256,test_rows,oos_predictions,fdr_pass_vs_0_5,fdr_rejections_vs_majority,beats_majority_after_fdr
pit_top10_daily,reports/output_pit_top10/performance_summary.csv,572de779b36c2d19a07958fc1705b4e1c13fed257b609a553e5d79afde819ecf,171,159284,20,14,0
fred_macro_daily,reports/output_ext_macro_on/performance_summary.csv,2ed2111c36e0491c597ba8a49b2f2c293f059194bec24952b1c1d45e99984e93,171,160195,22,15,0
cboe_skew_daily,reports/output_ext_skew_on/performance_summary.csv,d910e090d1e17568d8eecf193c1ff2d9c64005928bb4b96c947dc6dae0fd9558,171,159901,22,16,0
pit_union_static_daily,reports/output_pit_union_static/performance_summary.csv,9d241be64a570c7beb6e63b9be34c5f5d92a866bcc8015047fd158a908995f51,171,308019,42,47,0
intraday_long_5m,reports/output_intraday_long/performance_summary.csv,aebdac411a23a75237a8ccee1f7725efc134a50701cb2e2353ebc4ccb57c0d98,112,6450316,26,63,0
